week_number,startup,amount_raised,sector,description,investors
20,Yousign ,NC,"Administrative, Legal, Accountancy",Yousign develops an electronic signature solution.,['Founders']
21,Visible Patient ,11.3 M€,"Health, Beauty",Visible Patient offers an online medical analysis service to digitize scanner or MRI images in 3D.,"['CM-CIC Innovation', 'Alsace Création']"
21,Uptoo ,10 M€,"HR, Education, Training, Jobbing",Uptoo is a platform dedicated to sales recruitment.,['rdian']
21,Mindsay ,8.9 M€,Marketing & Communication,Mindsay (ex Destygo) develops a suite of chatbots solutions for retail and travel companies.,"['White Star Capital', 'Partech', 'Paris Aéroport', 'Accor']"
21,Enlaps ,3 M€,Enterprise software,"Enlaps designs the timelapse Tikee solution, designed for site monitoring, events and tourism.","['BNP Paribas', ""Caisse d'Epargne"", 'Bpifrance', 'business angels']"
21,Datategy ,2.5 M€,Transport,Datategy offers a data analysis solution dedicated to the fight against fraud in the transport sector.,"['Bpifrance', 'business angels']"
21,Airfree ,2.3 M€,Enterprise software,Airfree develops an in-flight e-commerce and m-commerce application.,"['Shiseido', 'Starbust', 'business angels']"
21,Tudigo ,2 M€,Finance,Tudigo is a regional crowdfunding platform.,['business angels']
21,MonClub Esport ,1.8 M€,Video Games,MonClub Esport is a training centre for e-sports.,['business angels']
21,BCDiploma ,1.2 M€,"HR, Education, Training, Jobbing",BCDiploma dematerializes and automates the delivery of certified certificates thanks to the blockchain technology.,['NC']
21,Monsieur Peinture ,1 M€,Indoor and outdoor decoration,Monsieur Peinture provides a platform for connecting painters and individuals.,['romology']
21,Atolia ,700 000€,"HR, Education, Training, Jobbing",Atolia publishes a collaborative application to simplify teamworking.,['business angels']
21,Movin'Smart ,150 000€,Sport,Movin'Smart develops a performance monitoring solution for horseback riding.,['business angels']
21,Bestrade ,120 000€,Enterprise software,Bestrade offers a feedback platform for trade shows to assess the quality of the organisation and the impact on the business.,['business angels']
22,Dashlane ,98 M€,Security & Cybersecurity,Dashlane provides a password manager solution and a digital wallet.,"['Sequoia Capital', 'Rho Ventures', 'FirstMark Capital', 'Bessemer Venture Partners']"
22,Georges ,10 M€,"Administrative, Legal, Accountancy",Georges publishes an accounting solution for liberal professionals.,"['Alven Capital', 'Kerala Ventures']"
22,Ellcie Healthy ,2.5 M€,"Health, Beauty",Ellcie Healthy designs connected glasses to prevent falling asleep while driving.,"['ACG Management', 'Turenne Capital', 'SYGMA', 'Bpifrance', 'business angels']"
22,smartVR ,2 M€,Videogames,smartVR studio offers virtual reality video games.,['rust Esport']
22,Otherwise ,2 M€,Finance,Otherwise provides collaborative insurance solutions.,"['Mutualia Grand Ouest', '360 Capital Partners', 'business angels']"
22,Goshaba ,2 M€,"HR, Education, Training, Jobbing",Goshaba designs HR mobile games based on cognitive tools.,"['daphni', 'INCO', 'BNP Paribas Développement', 'Jaïna Capital', 'Founders Future', 'Financière Saint James', 'Guibor']"
22,Citalid ,1.2 M€,Security & Cybersecurity,Citalid offers a solution that allows you to financially assess the risks of a computer attack.,"['Axeleo Capital', 'BNP Paribas Développement']"
22,Moneway ,1.1 M€,Finance,Moneway offers a bank account and a debit card controlled from a mobile application.,"['Bpifrance', 'business angels']"
22,Artifakt ,900 000€,Enterprise software,Artifakt publishes a solution for deploying websites in the cloud.,"['Kima Ventures', 'Lafayette Plus & Play', 'business angels']"
22,mySofie ,600 000€,"Health, Beauty",mySofie develops a mobile personal medical path assistant.,"['Bpifrance', 'Région Nouvelle-Aquitaine']"
22,Woom.fr ,550 000€,"Tourism, Leisure",Woom.fr offers an online leisure booking platform.,"['Jeremie Innovation', 'CACF Innovation', 'Bpifrance', 'BNP', 'Crédit Agricole']"
22,Redfox Finance ,150 000€,Finance,Redfox Finance provides a cash management solution for manufacturing companies.,['business angels']
22,NovRH ,NC,"HR, Education, Training, Jobbing",NovRH publishes HR software solutions .,['ertium']
24,Meero ,205 M€,"Media, Culture and Entertainment",Meero offers a marketplace for professional photographers.,"['Eurazeo Growth', 'Prime Ventures', 'Avenir Growth Capital', 'GR Capital', 'Global Founders Capital', 'Aglae Ventures', 'Alven Capital', 'White Star Capital', 'Idinvest Partners']"
24,Payfit ,70 M€,"HR, Education, Training, Jobbing",Payfit publishes a payroll management SaaS.,"['Eurazeo Growth', 'Idinvest Partners', 'Bpifrance', 'Accel Partners', 'Frst Capital', 'NJJ Capital', 'business angels']"
24,Bioserenity ,50 M€,"Health, Beauty",Bioserenity provides solutions for medical diagnosis online.,"['Dassault Systèmes', 'Bpifrance', 'Idinvest Partners', 'Innovation Capital']"
24,Vestiaire Collective ,40 M€,"Fashion, Luxury",Vestiaire Collective is a marketplace dedicated to luxury clothing and accessories.,"['Eurazeo Growth', 'Balderton', 'Idinvest Partners', 'Vitruvian Partners']"
24,Pazzi ,10 M€,"Food, Agri-business",Pazzi designs robots capable of making pizzas on their own.,"['Qualgro', 'Daphni', 'Eutopia', 'Partech Ventures', 'The Merchant Club']"
24,Bleckwen ,9 M€,Security & Cybersecurity,Bleckwen develops behavioural analysis solutions to fight payment fraud and financial crime.,"['Ring Capital', 'Tempocap', 'Bpifrance', 'Ineo']"
24,Deepki ,8 M€,Environmental,Deepki develops a data analysis platform to improve real estate assets' environmental performance.,"['Demeter Ventures', 'Hi Inov', 'Statkraft Ventures', 'Citizen Capital']"
24,CleverConnect ,5.5 M€,"HR, Education, Training, Jobbing",CleverConnect publishes recruitment tools.,"['Sofiouest', 'Citizen Capital']"
24,Sinaaps ,5 M€,Transport,Sinaaps offers a freight transport process optimization SaaS.,['alcium Capital']
24,Wizzcad ,5 M€,"Real Estate, Construction",Wizzcad develops BIM solutions (building information modeling).,['OIN Capital']
24,Hiflow ,4 M€,Transport,Hiflow (ex LuckyLoc & Expedicar) develops automotive delivery solutions.,"['Innovalianz', 'Hi Inov', 'SNCF Digital Ventures', 'VIVACTO Développement']"
24,Tilkal ,3.5 M€,"Logistic, Retail",Tilkal publishes a supply chain control and transparency software.,"['Breega Capital', 'Ventech']"
24,Les Opticiens Mobiles ,3.2 M€,"Health, Beauty",Les Opticiens Mobiles is a national network of opticians at home.,"['Investir&+', '123 Investment Managers', 'Amundi', 'Evolem Start']"
24,MagicStay ,3 M€,MagicStay,MagicStay offers an apartment booking platform for business travellers.,['business angels']
24,Fairjungle ,1.8 M€,"Tourism, Leisure",Fairjungle develops a platform to allow travellers to book all their trips on a single interface.,"['Whistones Ventures', 'business angels']"
24,Cood ,1.6 M€,"HR, Education, Training, Jobbing",Cood designs a game-based platform for digital education for young people.,"['Sofimac Innovation', 'Bpifrance']"
24,Naister ,1.5 M€,Marketing & Communication,Naister offers an AI-based digital marketing solution.,"['Habert Dassault Finance', 'Groupe Lima Consulting']"
24,Supertripper ,1 M€,"Tourism, Leisure",Supertripper is a booking platform for business travel.,"['UL Invest', '50 Partners', 'business angels']"
24,Reparcar ,860 000€,Transport,Reparcar is a marketplace dedicated to used car parts.,"['Carstudio', 'Kima Ventures', 'business angels']"
24,PocketStudio ,800 000€,"Media, Culture, Entertainment",PocketStudio publishes a tool that allows 3D content creators to work collaboratively remotely.,"['Elaia', '360 Capital', 'business angels']"
24,Nutri'Earth ,800 000€,"Food, Agri-business",Nutri'Earth conceives products dedicated to seniors and made from insects.,"['Bpifrance', 'KOA Food International', 'Eurasanté', 'business angels']"
24,Phantombuster ,600 000€,Marketing & Communication,Phantombuster develops a marketing platform for online data extraction.,['neRagtime']
24,My weekend for you ,40 000€,"Tourism, Leisure",My weekend for you is a weekend organization platform.,['business angels']
24,TriAzur ,40 000€,"Real Estate, Construction",TriAzur offers calculation tools for engineers and students.,['business angels']
25,Ornikar ,35 M€,Transport,Ornikar is a 100% digital driving school.,"['Idinvest Partners', 'Bpifrance', 'Brighteye Ventures']"
25,Metron ,10 M€,Energy,Metron publishes AI software dedicated to reducing factories' energy bills.,"['Statkraft Ventures', 'BNP Paribas Principal Investments', 'NTT Domoco Ventures', 'Breed Reply']"
25,Taster ,7 M€,"Food, Agri-business",Taster is a take-away restaurant dedicated to third-party food delivery services.,"['Battery Ventures', 'Heartcore Capital', 'LocalGlobe', 'GFC', 'Founders Future']"
25,My Coach ,6.6 M€,Sport,My Coach develops digital solutions dedicated to the sports industry.,"['ACG Management', 'Calao Finance', 'Turenne Capital', '123 Investissement Managers', 'MAIF Avenir', 'Bpifrance']"
25,Juste à Temps ,5 M€,"Food, Agri-business",Just in Time offers a platform for ordering products and services for the well-being of employees and customers reception.,"['Turenne Capital', 'business angels']"
25,EasyMovie ,5 M€,"Media, Culture and Entertainment",Easymovie offers a video content creation platform dedicated to companies.,['ing Capital']
25,Cozycozy.com ,4 M€,"Tourism, Leisure",Cozycozy.com offers a search engine dedicated to hosting.,"['Daphni', 'Capdecisif', 'Raise', 'business angels']"
25,Active Asset Allocation ,4 M€,Finance,Active Asset Allocation offers an online investment solution.,"['MAIF Avenir', 'Région Sud Investissement', 'Allianz France']"
25,Sinay ,1.6 M€,Environment,Sinay develops a big data solution applied to the maritime industries and the study of the marine environment.,"['Alpana Ventures', 'Mer Invest du Crédit Maritime', 'Plug & Play Ventures', 'Normandie Participations', 'Crédit Agricole Innovation', 'BNP Paribas\xa0']"
25,Newsbridge ,1.5 M€,"Media, Culture and Entertainment",Newsbridge has developed a platform to optimize the video manufacturing and editing process.,"['Elaia', 'business angels']"
25,Workelo ,1.1 M€,"HR, Education, Training, Jobbing",Workelo develops a SaaS solution to facilitate the tasks related to the arrival and departure of employees.,"['Holnest', 'business angels']"
25,Dilepix ,1 M€,"Food, Agri-business",Dilepix develops a solution for the analysis of images and data from connected objects on farms.,"['IT-Translation', 'Breizh Up', 'Crédit Agricole Expansion']"
25,Kazaden ,1 M€,"Tourism, Leisure",Kazaden publishes a marketplace for professionals and individuals to book adventure stays.,['business angels']
25,Sportihome ,600 000€,"Tourism, Leisure",Sportihome offers sports stays for individuals.,['business angels']
25,Krooga ,500 000€,"Logistic, Retail",Krooga helps brands develop their marketplace on Amazon.,['business angels']
25,InSitio ,500 000€,"Real Estate, Construction",InSitio offers an online rental management tool.,['business angels']
25,Copees ,300 000€,"Logistic, Retail",Copees offers a fast printing and delivery solution.,"['BPI Normandie', 'business angels']"
25,Hapax ,45 000€,"Health, Beauty",Hapax offers stays combining medical cancer analysis and tourism in Lyon.,['business angels']
25,Fuse Universal ,NC,"HR, Education, Training, Jobbing",Fuse Universal offers a learning platform dedicated to professionals.,['Edenred Capital Partners']
26,Dott ,30 M€,Transport,Dott provides free-floating electric scooters and bikes.,"['EQT Ventures', 'Naspers Ventures']"
26,Cubyn ,12 M€,"Logistic, Retail",Cubyn allows e-merchants to outsource the logistics management of their orders.,"['DN Capital', 'Partech Ventures', '360 Capital Partners', 'BNP Paribas Développement', 'Bpifrance']"
26,Innovorder ,10 M€,"Food, Agri-business",Innovorder develops a digitization solution for restaurants points of sale.,"['Alto Invest', 'Evolem Start', 'FJ Labs', 'Kreaxi', 'Inocap Gestion', 'Anaxago', 'Petit Poucet']"
26,Kameleoon ,5 M€,Marketing & Communication,Kameleoon offers a conversion optimization platform dedicated to e-commerce.,"['Odyssée Venture', 'SGPA', 'business angels']"
26,Alma ,3.3 M€,Finance,Alma allows small merchants to offer payments in three installments.,"['Idinvest', 'Isai', 'Kima Ventures', 'Bpifrance', 'business angels']"
26,Lovys ,3.3 M€,Finance,Lovys publishes a digital interface where insurance processes are dematerialized and in real time.,"['MAIF Avenir', 'Portugal Ventures', 'Plug and Play']"
26,Pop Valet ,2.5 M€,Transport,Pop Valet operates a vehicle moving service for professionals.,"['IMA Participations', 'MAIF Avenir', 'business angels']"
26,Filae ,2.5 M€,Services to individuals,Filae offers an online genealogical research platform.,['atel Capital']
26,MyBus ,2.4 M€,Transport,MyBus develops a mobile passenger information application and mobile ticket dispenser.,"['EDF Pulse Croissance', 'Banque des Territoires', 'Sofimac IM', 'Crédit Agricole Loire', 'business angels']"
26,Vite mon marché ,2.3 M€,"Food, Agri-business",Vite mon marché offers a home delivery solution for fresh and local products.,"['West Web Valley', 'Go Capital']"
26,Alcméon ,2 M€,Marketing & Communication,Alcméon publishes a SaaS customer relationship solution for brands.,['nter Invest Capital']
26,Wakeo ,1.8 M€,"Logistic, Retail",Wakeo offers a SaaS platform for international transport flows real-time monitoring.,"['50 Partners', 'Techstars', 'business angels']"
26,Ulysse ,1.3 M€,Transport,Ulysses develops a plane ticket booking platform.,"['Kima Ventures', 'business angels']"
26,Joko ,1.3 M€,Marketing & Communication,Joko publishes a loyalty card solution integrated into the bank card.,"['Partech', 'Axeleo Capital', 'Lafayette Plug and Play']"
26,Geotrend ,1.3 M€,Enterprise software,Geotrend develops an economic intelligence SaaS.,"['IRDInov', 'Bpifrance', 'Also Consult', 'Applied Business Intelligence']"
26,FirmFunding ,1 M€,Finance,FirmFunding offers an online private placement platform.,"['Fiblac', 'business angels']"
26,Emprunte mon Toutou ,600 000€,Animal,Emprunte mon Toutou offers a network between dog owners and lovers.,['ide Capital']
26,Karamel ,400 000€,"Tourism, Leisure",Karamel develops a booking platform for children activities.,"['Kima Ventures', 'business angels']"
26,Monsieur Barbier ,350 000€,"Health, Beauty",Mr. Barbier designs and distributes cosmetic products for men.,['ccipac']
27,Sinequa ,20 M€,Enterprise software,Sinequa offers big data and data analysis solutions.,"['Jolt Capital', 'Troismer BVBA']"
27,Aryballe Technologies ,6.2 M€,"Health, Beauty",develops and manufactures bio-inspired sensors enabling applications in digital olfaction.,"['IFF', 'Hyundai']"
27,Epsor ,6 M€,Finance,Epsor publishes an online saving platform dedicated to SMEs employees.,"['BlackFin Tech', 'Partech']"
27,LegalPlace ,6 M€,"Administrative, Legal, Accountancy",LegalPlace develops a platform to facilitate companies' legal procedures.,"['Day One Entrepreneurs & Partners', 'AFIR', 'Bpifrance']"
27,WeCasa ,4.5 M€,Services to individuals,WeCasa develops a market place for in-home services.,['erena']
27,Plezi ,3 M€,Marketing & Communication,Plezi provides a marketing automation solution.,['dyssée Venture']
27,ParkingMap ,2.5 M€,Transport,ParkingMap offers a mobile application to drivers to help them find a parking space.,"['Banque des Territoires', 'Fa Dièse', 'Caravelle']"
27,Mindee ,2 M€,Enterprise software,Mindee develops a text extraction solution.,"['Serena', 'Bpifrance', 'business angels']"
27,Case Law Analytics ,2 M€,"Administrative, Legal, Accountancy",Case Law Analytics uses AI to assess the risk of conviction.,"['Pays de la Loire Développement', 'Pays de la Loire Participation', 'Innov’Allianz', 'Syllex', 'Bamboo']"
27,Pubstack ,2 M€,Marketing & Communication,Pubstack publishes a platform to collect data that can impact publishers' advertising revenues.,"['Kima Ventures', 'Go Capital', 'Bpifrance', 'business angels']"
27,Wefight ,1.8 M€,"Health, Beauty","Wefight develops a conversational interface to answer patients' questions about their illness, treatment or care pathway.","['Investir &+', 'Angels Santé', 'Badge', 'Melies Business Angels']"
27,MyMinuteTrip ,300 000€,"Tourism, Leisure",MyMinuteTrip offers a geolocated video marketing solution for tourism.,['business angels']
27,Space Elephant ,NC,Enterprise software,Space Elephant develops blockchain-based solutions to build a decentralized economy.,['NC']
